Titulo,Endereço,Aluguel,Area,Descricao
Apartamento,Portal de Versalhes 1 Londrina - PR,"R$ 950,00",53m²,"53m² útil ,2 quartos ,1 banheiro ,1 vaga"
Sala Comercial,Igapo Londrina - PR,"de: R$1.150,00por: R$950,00",,1 banheiro
Casa Residencial,Monte Belo Londrina - PR,"R$ 950,00",90m²,"90m² útil ,2 quartos ,2 banheiros ,Sim ,130m² total"
Sala Comercial,Igapo Londrina - PR,"de: R$1.100,00por: R$950,00",30m²,"30m² útil ,1 banheiro ,30m² total"
Apartamento,Ouro Verde Londrina - PR,"R$ 950,00",48m²,"48m² útil ,2 quartos ,1 banheiro ,1 vaga ,48m² total"
Sala Comercial,Igapo Londrina - PR,"de: R$1.100,00por: R$950,00",30m²,"1 sala ,1 banheiro ,30m² total ,25m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 950,00",73m²,"1 sala ,1 banheiro ,Sim ,73m² total ,41m² útil"
Sala Comercial,Maraba Londrina - PR,"R$ 950,00",,"1 sala ,2 banheiros"
Apartamento,Vila Fujita Londrina - PR,"R$ 900,00",77m²,"77m² útil ,3 quartos ,1 banheiro ,1 vaga"
Casa Residencial,Jardim Planalto Londrina - PR,"R$ 900,00",65m²,"65m² útil ,3 quartos ,1 banheiro ,1 vaga"
Casa Residencial,Ernani de Moura Lima Londrina - PR,"R$ 900,00",80m²,"80m² útil ,2 quartos ,1 banheiro ,Sim"
Casa Residencial,Jardim Padovani Londrina - PR,"R$ 900,00",56m²,"56m² útil ,2 quartos ,1 banheiro ,Sim ,125m² total"
Terreno,California Londrina - PR,"R$ 900,00",360m²,360m² total
Apartamento,Vila Balarotti Londrina - PR,"R$ 900,00",60m²,"60m² útil ,2 quartos ,1 banheiro ,Sim"
Apartamento,Nova Olinda Londrina - PR,"R$ 900,00",45m²,"45m² útil ,2 quartos ,1 banheiro ,1 vaga ,60m² total"
Apartamento,Vale dos Tucanos Londrina - PR,"R$ 900,00",50m²,"50m² útil ,2 quartos ,1 banheiro ,1 vaga"
Apartamento,Vila Filipin Londrina - PR,"R$ 900,00",52m²,"52m² útil ,2 quartossendo 1 suíte ,2 banheiros ,1 vaga"
Casa Residencial,Parque das Industrias Londrina - PR,"R$ 880,00",80m²,"80m² útil ,4 quartossendo 2 suítes ,3 banheiros ,4 vagas ,250m² total"
Casa Residencial,Jardim Jose Favaro Cambe - PR,"R$ 870,00",65m²,"65m² útil ,2 quartos ,1 banheiro ,Sim"
Casa Residencial,Monte Belo Londrina - PR,"R$ 850,00",70m²,"70m² útil ,2 quartos ,1 banheiro ,Sim"
Apartamento,Vale dos Tucanos Londrina - PR,"R$ 850,00",90m²,"90m² útil ,3 quartossendo 1 suíte ,2 banheiros ,1 vaga"
Kitinet,Centro Londrina - PR,"R$ 850,00",35m²,"35m² útil ,1 quarto ,1 banheiro ,35m² total"
Apartamento,Vale dos Tucanos Londrina - PR,"R$ 850,00",68m²,"68m² útil ,2 quartos ,1 banheiro ,1 vaga"
Apartamento,Vale dos Tucanos Londrina - PR,"R$ 850,00",54m²,"54m² útil ,2 quartossendo 1 suíte ,2 banheiros ,2 vagas"
Apartamento,Vale dos Tucanos Londrina - PR,"R$ 850,00",54m²,"54m² útil ,2 quartossendo 1 suíte ,2 banheiros ,1 vaga"
Rural,Jardim Vale Verde Londrina - PR,"R$ 850,00",35m²,"35m² útil ,1 quarto ,1 banheiro"
Sala Comercial,Centro Londrina - PR,"R$ 850,00",50m²,"1 sala ,1 banheiro ,Sem vaga ,50m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 850,00",50m²,"1 sala ,1 banheiro ,50m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 850,00",50m²,"1 sala ,1 banheiro ,50m² útil"
Apartamento,Nova Olinda Londrina - PR,"R$ 850,00",46m²,"46m² útil ,2 quartos ,1 banheiro ,1 vaga ,51m² total"
Apartamento,Ouro Verde Londrina - PR,"R$ 800,00",44m²,"44m² útil ,2 quartos ,1 banheiro ,1 vaga ,49m² total"
Sala Comercial,Vila Shimabokuro Londrina - PR,"R$ 800,00",30m²,"1 sala ,1 banheiro ,30m² útil"
Sala Comercial,Vila Shimabokuro Londrina - PR,"R$ 800,00",30m²,"1 sala ,1 banheiro ,30m² útil"
Casa Residencial,Jardim do Sol Londrina - PR,"R$ 800,00",60m²,"60m² útil ,1 quarto ,1 banheiro ,1 vaga"
Apartamento,Jardim Ana Eliza Cambe - PR,"R$ 800,00",43m²,"43m² útil ,2 quartos ,1 banheiro ,1 vaga"
Casa Residencial,Aquilles Sthengel Londrina - PR,"R$ 800,00",95m²,"95m² útil ,3 quartos ,2 banheiros ,3 vagas ,125m² total"
Apartamento,Nova Olinda Londrina - PR,"R$ 800,00",42m²,"42m² útil ,2 quartos ,1 banheiro ,1 vaga"
Apartamento,Centro Londrina - PR,"R$ 800,00",55m²,"55m² útil ,1 quarto sendo 1 suíte ,2 banheiros ,1 vaga"
Apartamento,Vila Fujita Londrina - PR,"R$ 790,00",65m²,"65m² útil ,2 quartos ,1 banheiro ,1 vaga"
Casa Residencial,Conjunto Habitacional Alexandre Urb Londrina - PR,"R$ 780,00",60m²,"60m² útil ,2 quartos ,1 banheiro ,Sim ,200m² total"
Sala Comercial,Centro Londrina - PR,"R$ 750,00",30m²,"1 sala ,1 banheiro ,30m² útil"
Terreno,Conjunto Habitacional Alexandre Urb Londrina - PR,"R$ 750,00",355m²,355m² total
Apartamento,Jardim das Americas Londrina - PR,"R$ 750,00",45m²,"45m² útil ,2 quartos ,1 banheiro ,1 vaga ,54m² total"
